-0.002	-0.001	0.012	0.14	-0.089	0.111	-0.042	-0.033	0.012	-0.018	0.001	-0.023	0.004	0.003	-0.006
-0.015	-0.001	0.008	0.109	-0.117	0.069	0.037	0.037	-0.014	-0.015	0.019	-0.019	0.005	0.001	-0.001
0.002	-0.004	0.021	-0.007	-0.008	-0.025	0.014	0.012	0.007	-0.001	0.015	-0.001	0	-0.005	0.006
0.043	-0.004	0.003	0.02	-0.016	0.007	-0.03	0.006	-0.012	0	0.004	-0.002	0.004	-0.006	0.008
-0.062	-0.004	0.001	0.003	0	-0.005	0.01	0.005	-0.006	0.006	0.004	-0.002	-0.002	-0.006	0.005
0.015	-0.003	0.001	0.009	-0.003	0.003	-0.002	0.007	-0.002	0.005	0.004	-0.005	-0.001	-0.003	0.001
0.042	-0.002	0.002	-0.001	0	-0.002	0.001	0.004	-0.001	0.002	0.004	-0.002	0.004	0.002	-0.001
-0.045	0.003	0.001	0.003	-0.002	0.002	-0.003	0.002	0	0	0.003	0	0.002	0.001	-0.002
0.018	-0.006	0.004	-0.001	0	-0.001	0	0.001	-0.002	0.001	0.002	-0.002	0.001	0	0
-0.011	-0.005	0.003	0.002	0	0.001	-0.003	0	-0.001	0.001	0	-0.001	0.001	0	-0.001
0.019	-0.005	0.003	0	0.001	0	0.001	0.002	-0.002	0.002	0	-0.001	0	0	0
-0.016	0.001	0	0	-0.001	0.001	0	0.001	-0.001	0.002	0.001	0	0	0.001	0
0.006	0	0.002	-0.001	0	0.001	0.001	0.003	-0.002	0.001	0.001	-0.001	0.002	0.001	0
-0.004	-0.001	0.001	-0.002	0	0.001	-0.001	0.001	0	0.001	0.001	-0.001	0.001	0.001	0
0	-0.004	0.003	-0.001	0	0.001	0	0.001	-0.001	0.001	0.001	0	0	0.001	0
0.006	-0.002	0.002	0	0	0.001	-0.001	0.001	-0.001	0.002	0	-0.001	0.001	0.001	0
-0.004	-0.002	0.001	-0.001	0	0.001	0	0.002	-0.001	0.002	0	-0.001	0	0.001	0
-0.004	-0.001	0	0	0	0.002	0	0.001	0	0.001	0	-0.001	0	0.001	0
0.003	-0.001	0	-0.001	0	0.001	0	0.001	-0.001	0.002	0	0	0	0.001	0
0.002	-0.001	0.001	0	0	0.001	-0.001	0.001	-0.001	0.002	0	0	0.001	0.001	0
0	0	0.001	-0.001	0	0.001	0	0.001	-0.001	0.001	0	0	0.001	0	0
